RoleDisplayName,Permission,RoleType
AI Reader,microsoft.directory/subscribedSkus/standard/read,Built-in
AI Reader,microsoft.directory/users/allProperties/read,Built-in
AI Reader,microsoft.office365.copilot/allEntities/allProperties/read,Built-in
AI Reader,microsoft.office365.messageCenter/messages/read,Built-in
AI Reader,microsoft.office365.network/performance/allProperties/read,Built-in
AI Reader,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
AI Reader,microsoft.office365.usageReports/allEntities/allProperties/read,Built-in
AI Reader,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Application Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Application Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Application Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,Built-in
Application Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read,Built-in
Application Administrator,microsoft.directory/applicationPolicies/basic/update,Built-in
Application Administrator,microsoft.directory/applicationPolicies/create,Built-in
Application Administrator,microsoft.directory/applicationPolicies/delete,Built-in
Application Administrator,microsoft.directory/applicationPolicies/owners/read,Built-in
Application Administrator,microsoft.directory/applicationPolicies/owners/update,Built-in
Application Administrator,microsoft.directory/applicationPolicies/policyAppliedTo/read,Built-in
Application Administrator,microsoft.directory/applicationPolicies/standard/read,Built-in
Application Administrator,microsoft.directory/applications/applicationProxy/read,Built-in
Application Administrator,microsoft.directory/applications/applicationProxy/update,Built-in
Application Administrator,microsoft.directory/applications/applicationProxyAuthentication/update,Built-in
Application Administrator,microsoft.directory/applications/applicationProxySslCertificate/update,Built-in
Application Administrator,microsoft.directory/applications/applicationProxyUrlSettings/update,Built-in
Application Administrator,microsoft.directory/applications/appRoles/update,Built-in
Application Administrator,microsoft.directory/applications/audience/update,Built-in
Application Administrator,microsoft.directory/applications/authentication/update,Built-in
Application Administrator,microsoft.directory/applications/basic/update,Built-in
Application Administrator,microsoft.directory/applications/create,Built-in
Application Administrator,microsoft.directory/applications/credentials/update,Built-in
Application Administrator,microsoft.directory/applications/delete,Built-in
Application Administrator,microsoft.directory/applications/disablement/update,Built-in
Application Administrator,microsoft.directory/applications/extensionProperties/update,Built-in
Application Administrator,microsoft.directory/applications/notes/update,Built-in
Application Administrator,microsoft.directory/applications/owners/update,Built-in
Application Administrator,microsoft.directory/applications/permissions/update,Built-in
Application Administrator,microsoft.directory/applications/policies/update,Built-in
Application Administrator,microsoft.directory/applications/synchronization/standard/read,Built-in
Application Administrator,microsoft.directory/applications/tag/update,Built-in
Application Administrator,microsoft.directory/applications/verification/update,Built-in
Application Administrator,microsoft.directory/applicationTemplates/instantiate,Built-in
Application Administrator,microsoft.directory/auditLogs/allProperties/read,Built-in
Application Administrator,microsoft.directory/connectorGroups/allProperties/read,Built-in
Application Administrator,microsoft.directory/connectorGroups/allProperties/update,Built-in
Application Administrator,microsoft.directory/connectorGroups/create,Built-in
Application Administrator,microsoft.directory/connectorGroups/delete,Built-in
Application Administrator,microsoft.directory/connectors/allProperties/read,Built-in
Application Administrator,microsoft.directory/connectors/create,Built-in
Application Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,Built-in
Application Administrator,microsoft.directory/deletedItems.applications/delete,Built-in
Application Administrator,microsoft.directory/deletedItems.applications/restore,Built-in
Application Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,Built-in
Application Administrator,microsoft.directory/provisioningLogs/allProperties/read,Built-in
Application Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/audience/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/authentication/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/basic/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/create,Built-in
Application Administrator,microsoft.directory/servicePrincipals/credentials/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/delete,Built-in
Application Administrator,microsoft.directory/servicePrincipals/disable,Built-in
Application Administrator,microsoft.directory/servicePrincipals/enable,Built-in
Application Administrator,microsoft.directory/servicePrincipals/getPasswordSingleSignOnCredentials,Built-in
Application Administrator,microsoft.directory/servicePrincipals/managePasswordSingleSignOnCredentials,Built-in
Application Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-application-admin,Built-in
Application Administrator,microsoft.directory/servicePrincipals/notes/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/owners/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/permissions/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/policies/update,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage,Built-in
Application Administrator,microsoft.directory/servicePrincipals/tag/update,Built-in
Application Administrator,microsoft.directory/signInReports/allProperties/read,Built-in
Application Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Application Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Application Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Application Developer,microsoft.directory/applications/createAsOwner,Built-in
Application Developer,microsoft.directory/oAuth2PermissionGrants/createAsOwner,Built-in
Application Developer,microsoft.directory/servicePrincipals/createAsOwner,Built-in
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks,Built-in
